PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
WIR,DIVERSE,8,D5,0,0,0,0,0,0,0,0,4,,,,1,,,,,3,,,,6,1,,,5,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A1,0,0,0,0,0,0,0,0,1,,,,4,,,,<1,3,,,,<1,<1,,,5,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,
WIR,DIVERSE,9,B1,0,0,1,0,0,0,3,1,,,4,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,9,C1,0,0,1,0,0,0,2,0,,,2,,2,,,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,9,D1,0,0,0,0,0,0,0,0,1,,4,,3,,,,,2,,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,9,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A2,0,0,1,0,0,0,1,0,1,,3,,2,,,,<1,1,,,,1,<1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,B2,0,0,0,0,0,1,0,0,1,,6,,5,,,,,1,,,,1,,,,2,,,,,<1,,,,4,,,,,,,,,,,,2,,,,,,,,,,,
WIR,DIVERSE,9,C2,0,0,0,0,0,0,0,0,<1,,3,,2,,,,,2,,,,1,,,,9,,,,,,,,,2,,,,,,,,,,,,,,9,,,,,,,,,
WIR,DIVERSE,9,D2,1,0,0,0,0,0,0,0,,,6,,3,,,,,<1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,9,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A3,2,0,8,0,0,0,5,0,<1,,3,,5,,,,<1,2,,,,,<1,,,,,,,<1,,,,,4,,,,,,,,,,,,3,,3,,,,,,,,,
WIR,DIVERSE,9,B3,1,0,1,0,0,0,0,0,<1,,9,,3,,,,<1,3,,,,2,1,,,1,,,3,<1,,,,,9,,,,,,,,,,,,1,,2,,,,,,,,,
WIR,DIVERSE,9,C3,0,0,0,0,0,0,0,0,<1,,4,,1,,,,,2,,,,2,,,,7,,,,1,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,
WIR,DIVERSE,9,D3,1,0,0,0,0,0,0,0,<1,,2,,,,,,,2,,,,1,,,,11,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A4,0,0,2,0,0,0,0,0,1,5,5,,1,1,,,,3,,,,<1,<1,,,,,,,,<1,,,,2,,,,,,,,,,,,2,,2,,,,,,,,,20% dirt
WIR,DIVERSE,9,B4,0,0,1,0,0,0,2,0,1,,4,,2,1,,,,1,,,,1,<1,,,2,,,,,,,,,8,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,9,C4,0,0,0,0,0,0,0,0,1,,2,,2,,,,,6,,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,D4,0,0,0,0,0,1,0,0,,12,5,,,,,,,4,,,,4,,,,7,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,9,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A5,0,0,0,0,0,0,0,0,<1,,3,,,,,,,7,,,,1,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,B5,0,0,0,0,0,0,0,0,,,12,,3,1,,,,8,,,,3,,,,2,,,,,,,,,9,,,,,,,,,,,,1,,2,,,,,,,,,
WIR,DIVERSE,9,C5,0,0,0,0,0,0,1,0,1,,4,,,2,,,,2,,,,7,,,,1,,,,,,,,,3,,,,1,,,,,,,,,,1,,,,,,,,,
WIR,DIVERSE,9,D5,0,0,0,0,0,1,0,0,<1,,3,,4,,,,,2,,,,3,,,,4,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A1,0,0,0,0,0,0,0,0,1,,6,,5,,,,,1,,,,1,<1,,,1,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,10,B1,0,0,0,0,0,0,0,0,1,,4,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,C1,0,0,0,0,0,0,0,0,1,,5,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
WIR,DIVERSE,10,D1,0,0,0,0,0,0,0,0,1,,1,1,1,,,,,2,,,,1,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A2,0,0,2,0,0,0,0,0,1,,2,,1,1,,,1,<1,,,,1,<1,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,10,B2,1,0,0,0,0,0,2,0,1,,,,,3,,,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,C2,0,0,0,0,0,1,0,0,2,,,,2,2,4,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,10,D2,0,0,0,0,0,0,0,0,1,,4,,,1,,,,1,,,,1,3,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,10,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A3,0,0,2,0,0,0,0,0,1,,11,,1,3,,,,4,,,,1,,,,2,,,1,,,,,,3,,,,,,,,,,,,,,5,,,3,,,,,,
WIR,DIVERSE,10,B3,1,0,4,0,0,0,2,0,<1,,5,,,,,,<1,2,,,,2,<1,,,1,,,1,,,,,,3,,,,,,,,,,,,,,3,,,1,,,,,,
WIR,DIVERSE,10,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A4,0,0,0,0,0,0,0,0,2,,,,3,1,,,,2,,,,1,<1,,,1,,,,,,,,,2,,,,,,,,,,,,1,,6,,,,,,,,,
WIR,DIVERSE,10,B4,0,0,0,0,0,0,2,0,,,3,,5,1,,,,<1,,,,1,<1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
WIR,DIVERSE,10,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,D4,0,0,0,0,0,1,0,0,3,,2,2,,1,,,,5,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,10,E4,1,0,0,0,0,1,0,0,2,,3,,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A5,0,0,0,0,0,0,0,0,<1,,,,3,,,,<1,1,,,,1,<1,,,,,,,<1,1,,,,,,,,,,,,,,,,1,,7,,,,,,,,,
WIR,DIVERSE,10,B5,0,0,0,0,0,0,0,0,1,,7,,6,,,,<1,3,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,
WIR,DIVERSE,10,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,E5,0,0,0,0,0,1,0,0,1,,,<1,2,1,,,<1,2,,,,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,A1,0,0,0,0,0,0,1,0,1,,3,,3,1,,,,<1,,,,<1,,,,2,,,,,,,,,,,,,,,,,1,,,,3,,1,,,,,,,,,25% rock
WIR,DIVERSE,11,B1,1,0,0,0,0,0,0,0,2,,6,,2,1,,,,,,,,<1,,,,2,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
WIR,DIVERSE,11,C1,3,0,0,0,0,0,2,0,2,,6,,4,1,,,,,,,,1,<1,,,6,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,
WIR,DIVERSE,11,D1,4,0,0,0,0,0,0,0,1,,4,,5,3,,,<1,<1,,,,<1,,,,1,,,,,,,,,,,,,,1,,,,,,,,<1,1,,,1,,,,,,
WIR,DIVERSE,11,E1,1,0,0,0,0,0,0,0,2,,8,,4,5,,,<1,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,<1,,,,,,1,,,,stepped on
WIR,DIVERSE,11,A2,1,0,0,0,0,0,0,0,1,,1,,3,,,,,<1,,,,<1,,,,8,,,,,,,,,,,,,1,,,,,,,,5,,4,,,,,,,,,50% rock
WIR,DIVERSE,11,B2,0,0,0,0,0,0,0,0,,7,8,,,,,,,<1,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,25% rock
WIR,DIVERSE,11,C2,0,0,0,0,0,1,7,0,,8,6,,5,4,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
WIR,DIVERSE,11,D2,2,0,0,0,0,0,0,0,1,,2,,8,4,<1,<1,<1,,,,,<1,<1,,,1,,,,<1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
WIR,DIVERSE,11,E2,0,0,0,0,0,0,0,0,<1,,10,,4,3,<1,<1,<1,,,,,1,,,,4,,,,<1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,stepped on
WIR,DIVERSE,11,A3,0,0,0,0,0,1,0,0,4,,9,,4,,<1,<1,<1,,,,,<1,<1,,,1,,,1,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
WIR,DIVERSE,11,B3,2,0,0,0,0,2,7,0,1,,2,<1,1,2,,,1,,,,,<1,<1,,,2,,,1,,,,,,,,,,,,,,,,,,2,,14,,,,,,,,,
WIR,DIVERSE,11,C3,0,0,0,0,0,0,2,0,3,,7,,3,1,<1,,<1,,,,,1,<1,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
WIR,DIVERSE,11,D3,0,0,0,0,0,1,0,0,1,,3,,1,4,,,,,,,,<1,,,,3,,,,,,,,,3,,,,1,,,,,,,,,,,,,3,,,,,,
WIR,DIVERSE,11,E3,0,0,0,0,0,0,0,0,,,2,,1,,,,,,,,,,,,,4,,,,<1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,50% stepped on
WIR,DIVERSE,11,A4,0,0,0,0,0,1,5,0,4,,3,,1,2,<1,,<1,,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
WIR,DIVERSE,11,B4,0,0,0,0,0,0,6,1,2,,1,,3,1,,,2,,,,,3,<1,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,
WIR,DIVERSE,11,C4,0,0,0,0,0,0,4,0,2,,6,,4,2,<1,,<1,,,,,<1,<1,,,4,,,,,,,,,1,,,,,,,,,,,,1,,,,,2,,,,,,
WIR,DIVERSE,11,D4,0,0,0,0,0,0,0,0,2,,2,,5,3,,,1,,,,,<1,<1,,,1,,,,,,,,,1,,,,1,,,,,,,,,<1,3,,,,,,,,,
WIR,DIVERSE,11,E4,0,0,0,0,0,0,0,0,2,,1,,5,5,,,<1,,,,,<1,2,,,18,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,50% stepped on
WIR,DIVERSE,11,A5,0,0,0,0,0,0,3,0,5,,2,,1,,,,2,,,,,1,<1,,,8,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
WIR,DIVERSE,11,B5,0,0,0,0,0,1,0,0,2,,4,,4,1,,,1,,,,,1,<1,,,4,,,1,,,,,,1,,,,,,,,,,,,,,12,,,,,,,,,
WIR,DIVERSE,11,C5,0,0,0,0,0,0,2,0,1,,5,,7,,<1,,<1,,,,,1,<1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,D5,0,0,0,0,0,0,0,0,<1,,3,,2,,,,2,,,,,<1,<1,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
WIR,DIVERSE,11,E5,0,0,0,0,0,0,0,0,3,,7,,,5,<1,,,,,,,1,<1,,,,,,,<1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,stepped on
WIR,DIVERSE,12,A1,0,0,0,0,0,0,0,0,2,,4,,3,1,,,<1,,,,,1,<1,,,1,,,,,,,,,2,,,,,,,,,,,,,,10,,,,,,,,,
WIR,DIVERSE,12,B1,0,0,0,0,0,0,0,0,4,,3,,6,,,,,,,,,<1,<1,,,2,,,,,,,,,3,,,,,,,,,,,,,,12,,,,,,,,,
WIR,DIVERSE,12,C1,1,0,1,0,0,0,0,0,1,,2,,2,1,,,,,,,,<1,,,,2,,,,<1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,70% rock
WIR,DIVERSE,12,D1,0,0,0,0,0,1,0,0,3,,5,<1,1,,,,,,,,,<1,4,,,10,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E1,0,0,0,0,0,0,0,0,3,,5,<1,3,,<1,,,,,,,<1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,stepped on
WIR,DIVERSE,12,A2,0,0,0,0,0,0,0,0,<1,,2,,,,,,,,,,,<1,<1,,,4,,,,,,,,,3,,,,,,,,,,,,,,26,,,,,,,,,
WIR,DIVERSE,12,B2,0,0,0,0,0,0,0,0,3,,5,,3,,,,,,,,,1,<1,,,3,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,12,C2,1,0,0,0,0,0,0,0,<1,1,3,,2,,,,<1,,,,,1,<1,,,4,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,
WIR,DIVERSE,12,D2,0,0,0,0,0,0,0,0,<1,1,8,<1,,,<1,,<1,,,,,2,<1,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,
WIR,DIVERSE,12,E2,0,0,0,0,0,0,0,0,2,,4,<1,1,,,,,,,,,<1,2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,stepped on
WIR,DIVERSE,12,A3,0,0,0,0,0,0,0,0,1,,5,,1,1,,,,,,,,<1,<1,,,4,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
WIR,DIVERSE,12,B3,0,0,0,0,0,1,0,0,4,,,,,2,,,,,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,2,,12,,,,,,,,,
WIR,DIVERSE,12,C3,0,0,0,0,0,1,0,0,1,,2,,3,,<1,,,,,,,1,<1,,,1,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,
WIR,DIVERSE,12,D3,0,0,0,0,0,0,0,0,1,,10,<1,,,,,<1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E3,0,0,0,0,0,0,0,0,3,,3,<1,2,,,,,,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,stepped on
WIR,DIVERSE,12,A4,0,0,0,0,1,1,0,0,1,,4,,1,,,,<1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,1,,,,,,
WIR,DIVERSE,12,B4,0,0,0,0,0,1,0,0,3,,6,<1,5,3,<1,,,,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,,,,,
WIR,DIVERSE,12,C4,0,0,0,0,0,0,0,0,2,,5,,2,,<1,,<1,,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,D4,0,0,0,0,0,0,0,0,2,,2,1,2,1,,,1,,,,,<1,,,,,,,,,<1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
WIR,DIVERSE,12,E4,0,0,0,0,0,0,0,0,2,,5,,2,,,,,,,,,<1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,stepped on
WIR,DIVERSE,12,A5,0,0,1,0,0,0,0,0,2,,6,,,,,,<1,,,,,1,<1,,,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
WIR,DIVERSE,12,B5,1,0,0,0,0,1,0,0,<1,,9,,3,,,,,,,,,<1,<1,,,6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,40% rock
WIR,DIVERSE,12,C5,1,0,0,0,0,0,0,0,<1,,8,,2,1,,,<1,,,,,1,<1,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
WIR,DIVERSE,12,D5,0,0,0,0,0,0,0,1,2,,7,,2,,,,,,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E5,0,0,0,0,0,0,0,0,4,,12,,1,,,,,,,,,<1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,stepped on
