COLUMN,PLOT,CELL,TREATMENT,SPECIES,DATE,NUM_INDIV_CELL,FINAL_NUM_INDIV_CELL,FINAL_FOCAL_HT,TOTAL_LARGE_INFL,L_NUM_COLLECT,LARGESEED,TOTAL_MID_INFL,M_NUM_COLLECT,MIDSEED,TOTAL_SMALL_INFL,S_NUM_COLLECT,SMALLSEED,TOTAL_FR_CELL,subset? (y/n),NUM_FR_COLLECT,TOTAL_NUM_SEED,SEED_PER_INDIV,SEED_PER_FR,NOTES
1,1,9,DROUGHT,COLLOM,7/10/2025,2,2,72.5,16,,,33,3,42,59,3,9,,Y,9,#DIV/0!,#DIV/0!,,
1,2,5,DROUGHT,COLLOM,7/10/2025,2,2,81.7,45,,,113,3,32,237,3,14,,y,9,#DIV/0!,#DIV/0!,,
1,3,3,DROUGHT,COLLOM,7/14/2025,3,3,78.0,24,3,156,41,,,82,,,,y,9,#DIV/0!,#DIV/0!,,
1,4,2,DROUGHT,TRIWIL,,1,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,gone
1,4,3,DROUGHT,PLECON,6/13/2025,3,2,36.7,51,3,425,66,3,157,88,3,51,,y,9,"12,175","6,088",,
1,4,5,DROUGHT,COLLOM,7/15/2025,3,3,53.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
1,4,6,DROUGHT,TRWIL,6/19/2025,2,2,18.5,0,,,0,,,3,,,,y,,#DIV/0!,#DIV/0!,,
1,4,7,BUFFER,TRIWIL,6/19/2025,2,1,31.7,0,,,13,,,7,,,,n,,#DIV/0!,#DIV/0!,,
1,4,8,DROUGHT,TRIWIL,6/19/2025,2,2,9.3,0,,,1,,,2,,,,n,,#DIV/0!,#DIV/0!,,
1,4,9,DROUGHT,COLLOM,7/15/2025,3,3,74.3,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
1,5,2,DROUGHT,COLLOM,7/15/2025,1,1,58.0,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
1,5,6,DROUGHT,PLECON,6/19/2025,3,3,34.0,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,broken
1,5,9,DROUGHT,PLECON,6/13/2025,2,1,55.1,10,3,377,12,3,201,14,3,91,,y,9,"2,485","2,485",,
2,2,2,DROUGHT,TRIWIL,6/19/2025,3,2,58.2,2,,,8,,,7,,,,y,,#DIV/0!,#DIV/0!,,
2,2,3,DROUGHT,TRIWIL,6/19/2025,1,1,38.1,1,,,9,,,1,,,,y,,#DIV/0!,#DIV/0!,,
2,2,4,DROUGHT,COLLOM,7/10/2025,3,3,82.7,32,3,210,59,3,43,72,3,12,,y,9,"3,374","1,125",,
2,2,5,DROUGHT,COLLOM,7/15/2025,2,1,74.9,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,2,6,DROUGHT,TRIWIL,6/19/2025,1,1,52.1,0,,,4,,,5,,,,y,,#DIV/0!,#DIV/0!,,
2,2,7,DROUGHT,COLLOM,7/15/2025,2,2,22.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,2,8,DROUGHT,COLLOM,7/15/2025,3,3,69.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,3,1,DROUGHT,PLECON,6/13/2025,3,2,49.3,68,3,293,138,3,188,130,3,44,,y,9,"17,196","8,598",,
2,3,3,DROUGHT,COLLOM,7/14/2025,1,1,70.5,7,,,43,,,73,,,,y,9,#DIV/0!,#DIV/0!,,
2,3,8,DROUGHT,COLLOM,7/15/2025,3,3,70.8,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,4,2,DROUGHT,COLLOM,7/15/2025,3,3,60.2,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,4,7,DROUGHT,COLLOM,7/15/2025,4,4,75.5,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,5,2,DROUGHT,COLLOM,7/15/2025,3,5,77.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
2,5,5,DROUGHT,PLECON,6/13/2025,5,3,44.6,25,3,245,55,3,164,23,3,80,,y,,"5,662","1,887",,
2,6,1,DROUGHT,PLECON,5/21/2025,5,6,27.5,16,3,479,35,,,30,,,,,,#DIV/0!,#DIV/0!,,
2,6,2,DROUGHT,COLLOM,7/15/2025,1,1,67.8,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
2,6,3,DROUGHT,PLECON,6/13/2025,3,2,23.7,27,3,177,38,3,186,25,,50,,y,,#DIV/0!,#DIV/0!,,
2,6,4,DROUGHT,COLLOM,7/14/2025,2,2,53.4,10,,,77,,,157,,,,y,9,#DIV/0!,#DIV/0!,,
2,6,5,DROUGHT,COLLOM,7/15/2025,2,2,64.9,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
2,6,6,DROUGHT,COLLOM,7/15/2025,1,1,69.3,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
2,6,7,BUFFER,PLECON,5/21/2025,1,1,7.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
3,2,2,DROUGHT,COLLOM,7/15/2025,4,4,65.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
3,2,4,DROUGHT,COLLOM,7/10/2025,3,2,81.1,49,3,265,35,3,86,18,3,26,,y,9,"5,488","2,744",,
3,2,5,DROUGHT,COLLOM,7/15/2025,2,2,81.5,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
3,2,6,DROUGHT,COLLOM,7/15/2025,2,3,67.8,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
3,2,7,DROUGHT,COLLOM,7/10/2025,1,1,54.7,4,3,166,9,3,78,40,,,,y,9,#DIV/0!,#DIV/0!,,
3,3,9,DROUGHT,PLECON,5/21/2025,2,2,16.0,5,,,5,,,5,,,,,,#DIV/0!,#DIV/0!,,
3,4,6,DROUGHT,PLECON,6/19/2025,4,4,45.9,6,3,445,62,3,175,73,3,55,,y,,"5,845","1,461",,
3,5,1,DROUGHT,PLECON,6/19/2025,4,3,16.8,5,3,179,11,3,79,16,3,60,,y,,908,303,,
3,5,2,DROUGHT,PLECON,6/19/2025,5,5,43.7,11,3,206,57,3,117,54,3,29,,y,,"3,500",700,,
3,5,4,DROUGHT,PLECON,6/19/2025,3,3,39.6,5,3,272,42,3,95,54,3,72,,y,,"3,079","1,026",,
3,5,5,DROUGHT,COLLOM,7/14/2025,4,4,72.4,9,,,41,,,59,,,,y,9,#DIV/0!,#DIV/0!,,
3,5,7,DROUGHT,PLECON,6/19/2025,1,1,43.9,8,3,269,38,3,109,37,3,77,,y,,"3,048","3,048",,
3,5,8,DROUGHT,PLECON,6/19/2025,2,2,50.2,11,3,154,61,3,118,109,3,73,,y,,"5,616","2,808",,
3,5,9,DROUGHT,PLECON,6/19/2025,3,2,38.0,4,3,327,20,3,151,31,3,110,,y,,"2,579","1,290",,
3,6,5,DROUGHT,PLECON,6/19/2025,6,4,33.9,0,,,12,3,104,8,3,48,,y,,#DIV/0!,#DIV/0!,,
3,6,6,DROUGHT,PLECON,6/19/2025,2,2,43.3,7,3,280,46,3,107,44,3,68,,y,,"3,291","1,646",,
3,6,8,BUFFER,PLECON,,3,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
4,2,3,BUFFER,COLLOM,7/15/2025,3,3,82.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,2,9,BUFFER,COLLOM,7/15/2025,2,3,75.3,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,3,1,DROUGHT,COLLOM,7/15/2025,2,2,77.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,3,2,DROUGHT,COLLOM,7/14/2025,1,1,74.7,6,,,16,,,38,,,,y,9,#DIV/0!,#DIV/0!,,
4,3,3,BUFFER,TRIWIL,6/19/2025,1,1,39.2,2,,,10,,,5,,,,y,8,#DIV/0!,#DIV/0!,,
4,3,4,DROUGHT,PLECON,6/25/2025,2,2,39.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,3,5,DROUGHT,COLLOM,7/15/2025,3,3,78.0,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,3,6,BUFFER,TRIWIL,6/19/2025,1,1,28.2,0,,,3,,,1,,,,n,,#DIV/0!,#DIV/0!,,
4,3,9,BUFFER,COLLOM,7/15/2025,1,1,60.2,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,4,1,DROUGHT,COLLOM,7/14/2025,3,3,40.8,8,,,26,,,86,,,,,,#DIV/0!,#DIV/0!,,
4,4,2,DROUGHT,COLLOM,7/15/2025,4,4,56.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,4,4,DROUGHT,PLECON,6/25/2025,7,4,51.3,,,,,,,,,,,y,,#DIV/0!,#DIV/0!,,
4,4,5,DROUGHT,PLECON,5/30/2025,3,3,52.2,24,,,85,,,84,,,,y,9,#DIV/0!,#DIV/0!,,
4,4,7,DROUGHT,PLECON,6/25/2025,6,5,27.9,,,,,,,,,,,y,,#DIV/0!,#DIV/0!,,
4,4,8,DROUGHT,PLECON,6/25/2025,6,5,54.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,4,9,BUFFER,COLLOM,7/15/2025,4,4,76.2,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,5,1,DROUGHT,PLECON,6/25/2025,1,4,49.5,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,5,2,DROUGHT,PLECON,6/25/2025,5,5,34.7,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,BS
4,5,3,BUFFER,PLECON,6/25/2025,5,3,38.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,5,4,DROUGHT,PLECON,5/30/2025,4,4,11.9,21,,,30,,,21,,,,,,#DIV/0!,#DIV/0!,,
4,5,6,BUFFER,PLECON,6/25/2025,1,1,34.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,6,1,DROUGHT,PLECON,6/19/2025,1,2,48.7,13,3,126,106,3,95,64,3,41,,y,,"4,777","2,389",,
4,6,2,DROUGHT,PLECON,5/30/2025,4,4,58.5,27,3,333,65,3,245,66,3,140,,,,"11,385","2,846",,
4,6,3,BUFFER,PLECON,6/25/2025,3,3,57.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,6,4,DROUGHT,PLECON,6/19/2025,4,5,56.7,12,3,196,125,3,115,100,3,76,,y,,"8,109","1,622",,
4,6,5,DROUGHT,PLECON,6/25/2025,2,1,45.0,,,,,,,,,,,y,,#DIV/0!,#DIV/0!,,
4,6,6,BUFFER,PLECON,6/25/2025,4,4,51.1,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,6,7,BUFFER,PLECON,6/25/2025,7,3,40.3,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,6,8,BUFFER,PLECON,6/25/2025,4,3,42.3,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
4,6,9,BUFFER,PLECON,6/25/2025,3,3,27.2,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
5,1,6,IRRIGATED,PLECON,,2,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
5,1,8,IRRIGATED,COLLOM,7/17/2025,2,2,67.5,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
5,1,9,IRRIGATED,PLECON,,3,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
5,2,1,IRRIGATED,COLLOM,7/14/2025,1,1,75.0,18,,,40,,,113,,,,y,9,#DIV/0!,#DIV/0!,,
5,2,8,IRRIGATED,COLLOM,7/17/2025,1,1,78.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
5,3,7,IRRIGATED,COLLOM,7/15/2025,5,5,66.8,29,3,,137,3,,238,3,,,y,9,0,0,,
5,3,8,IRRIGATED,COLLOM,7/15/2025,4,3,61.1,8,3,,43,3,,21,3,,,y,9,0,0,,
5,3,9,IRRIGATED,COLLOM,7/17/2025,3,3,66.2,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
5,4,1,IRRIGATED,TRIWIL,6/19/2025,1,1,47.5,0,,,18,3,108,7,,,,y,6,#DIV/0!,#DIV/0!,,
5,4,2,IRRIGATED,COLLOM,7/14/2025,3,3,66.2,25,,,96,,,204,3,45,,y,9,#DIV/0!,#DIV/0!,,
5,4,4,IRRIGATED,TRIWIL,6/19/2025,1,1,24.4,0,,,7,,,0,,,,y,2,#DIV/0!,#DIV/0!,,
5,4,5,IRRIGATED,TRIWIL ,6/19/2025,1,1,56.5,7,,,47,,,9,,,,y,9,#DIV/0!,#DIV/0!,,
5,4,6,IRRIGATED,TRIWIL,6/19/2025,1,1,47.8,9,3,153,43,,,14,,,,y,9,#DIV/0!,#DIV/0!,,
5,4,9,IRRIGATED,PLECON,,1,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
5,5,1,IRRIGATED,PLECON,6/23/2025,3,2,50.9,32,,,66,,,65,,,,y,9,#DIV/0!,#DIV/0!,,
5,5,5,IRRIGATED,PLECON,5/30/2025,2,2,27.7,10,,,8,,,7,2,32,,,,#DIV/0!,#DIV/0!,,
5,5,8,IRRIGATED,PLECON ,,3,0,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
5,5,9,IRRIGATED,COLLOM,7/14/2025,1,1,22.3,1,,,7,3,34,11,3,14,,y,7,#DIV/0!,#DIV/0!,,
6,1,7,IRRIGATED,COLLOM,7/15/2025,2,2,56.8,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
6,1,8,IRRIGATED,COLLOM,7/14/2025,2,2,73.5,12,,,37,,,142,,,,y,9,#DIV/0!,#DIV/0!,,
6,1,9,IRRIGATED,COLLOM,7/17/2025,3,3,78.8,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,2,1,IRRIGATED,COLLOM,7/15/2025,3,3,83.2,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
6,2,2,IRRIGATED,COLLOM,7/15/2025,2,2,83.9,9,3,,46,3,,40,3,,,Y,9,0,0,,
6,2,3,IRRIGATED,COLLOM,7/17/2025,2,2,76.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,2,4,IRRIGATED,PLECON,5/30/2025,2,2,44.5,30,3,307,46,3,115,47,3,97,,,,"6,353","3,177",,
6,2,5,IRRIGATED,COLLOM,7/17/2025,4,4,52.3,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,2,6,IRRIGATED,COLLOM,7/17/2025,3,3,78.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,2,7,IRRIGATED,COLLOM,7/17/2025,2,2,72.3,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,2,8,IRRIGATED,PLECON,5/30/2025,3,2,19.3,8,,,48,,,59,,,,,,#DIV/0!,#DIV/0!,,
6,2,9,IRRIGATED,COLLOM,7/17/2025,2,2,57.2,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,3,5,IRRIGATED,COLLOM,7/17/2025,2,2,65.2,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,3,6,IRRIGATED,COLLOM,7/17/2025,1,1,59.3,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,3,9,IRRIGATED,COLLOM,7/15/2025,4,4,60.1,4,3,,50,3,,51,3,,,,,0,0,,
6,4,5,IRRIGATED,COLLOM,7/17/2025,3,3,68.3,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,4,6,IRRIGATED,PLECON,6/23/2025,3,2,44.9,9,3,364,19,3,148,19,3,100,,y,9,"2,663","1,331",,
6,4,8,IRRIGATED,COLLOM,7/17/2025,1,2,58.8,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,4,9,IRRIGATED,COLLOM,7/17/2025,3,3,65.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,5,3,IRRIGATED,PLECON,6/23/2025,4,3,55.3,30,3,262,91,3,164,134,3,80,,y,,"11,168","3,723",,
6,5,4,IRRIGATED,COLLOM,7/15/2025,1,3,63.1,19,3,,69,3,,123,3,,,,,0,0,,
6,5,9,IRRIGATED,COLLOM,7/17/2025,1,1,79.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
6,6,1,IRRIGATED,PLECON,,3,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
6,6,2,IRRIGATED,PLECON,5/30/2025,2,2,35.4,16,,,21,,,43,3,104,,,,#DIV/0!,#DIV/0!,,
6,6,3,IRRIGATED,COLLOM,7/15/2025,3,3,51.6,32,3,,165,3,,195,3,,,,,0,0,,
6,6,4,IRRIGATED,PLECON,5/30/2025,3,3,16.5,6,,,14,,,23,,,,,,#DIV/0!,#DIV/0!,,
6,6,5,IRRIGATED,PLECON,5/30/2025,3,3,35.1,18,3,351,38,3,73,84,3,168,,,,"7,735","2,578",,
6,6,6,IRRIGATED,PLECON,6/23/2025,1,1,72.1,60,3,227,155,3,139,145,3,66,,y,9,"14,912","14,912",,
6,6,7,IRRIGATED,PLECON,5/30/2025,3,3,35.5,5,,,6,,,26,,,,,,#DIV/0!,#DIV/0!,,
6,6,8,IRRIGATED,PLECON,5/30/2025,1,1,21.6,2,,,5,,,16,,,,,,#DIV/0!,#DIV/0!,,
6,6,9,IRRIGATED,PLECON,,3,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
7,1,7,IRRIGATED,COLLOM,7/17/2025,2,2,55.4,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,BT
7,2,4,IRRIGATED,COLLOM,7/17/2025,3,3,77.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
7,2,7,IRRIGATED,COLLOM,7/17/2025,3,3,73.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
7,3,1,IRRIGATED,COLLOM,7/17/2025,2,2,83.5,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
7,3,4,IRRIGATED,COLLOM,7/17/2025,3,3,69.8,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
7,5,1,IRRIGATED,PLECON,6/23/2025,2,2,38.1,8,,,7,,,6,,,,y,9,#DIV/0!,#DIV/0!,,"height + collection 6/23, no infl. count on 6/25 so we did that 6/25"
7,5,3,IRRIGATED,TRIWIL,6/19/2025,2,2,10.9,0,,,1,1,17,1,,,,y,1,#DIV/0!,#DIV/0!,,
7,5,4,IRRIGATED,PLECON,6/23/2025,2,2,54.7,53,3,219,96,3,147,102,3,58,,y,9,"10,545","5,273",,BS
7,5,5,IRRIGATED,PLECON,6/23/2025,2,2,31.0,29,3,210,28,3,150,19,3,41,,y,9,"3,690","1,845",,
7,5,6,IRRIGATED,TRWIL,6/19/2025,1,1,9.5,0,,,1,1,38,2,,,,y,1,#DIV/0!,#DIV/0!,,
7,5,7,IRRIGATED,TRIWIL,6/19/2025,1,1,6.0,0,,,1,,,0,,,,n,,#DIV/0!,#DIV/0!,,
7,5,8,IRRIGATED,TRIWIL,7/7/2025,1,1,28.2,16,,,26,,,23,,,,y,7,#DIV/0!,#DIV/0!,,
7,5,9,IRRIGATED,TRIWIL,7/7/2025,1,1,47.7,4,,,11,,,6,,,,y,5,#DIV/0!,#DIV/0!,,
7,6,1,IRRIGATED,TRIWIL,,1,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
7,6,3,IRRIGATED,PLECON,6/23/2025,2,2,46.3,22,3,205,13,3,104,12,3,35,,y,9,"2,094","1,047",,
7,6,6,IRRIGATED,PLECON,6/23/2025,3,2,42.8,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,
7,6,7,IRRIGATED,PLECON,6/25/2025,3,3,21.6,14,3,335,34,3,190,33,3,66,,y,9,"4,443","1,481",,BS
7,6,8,IRRIGATED,PLECON,6/23/2025,5,4,67.3,35,3,286,85,3,191,106,3,43,,y,9,"10,268","2,567",,broken
8,1,1,IRRIGATED,CALCIL,5/6/2025,2,2,41.3,,,,,,,,,,"1,195",y,10,#DIV/0!,#DIV/0!,,
8,1,4,IRRIGATED,PLECON,,2,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,Gone
8,1,5,IRRIGATED,COLLOM,7/17/2025,1,1,56.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,1,6,IRRIGATED,COLLOM,7/15/2025,2,2,67.5,13,3,,53,3,,98,3,,,y,,0,0,,
8,1,7,IRRIGATED,PLECON,6/25/2025,3,2,44.4,8,3,241,24,3,177,66,3,72,,y,9,"3,643","1,821",,
8,1,8,IRRIGATED,COLLOM,7/17/2025,2,2,59.8,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,1,9,IRRIGATED,COLLOM,,1,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,gone
8,2,8,IRRIGATED,COLLOM,7/17/2025,1,1,70.2,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,3,1,IRRIGATED,TRIWIL,6/19/2025,1,2,20.5,0,,,2,,,1,,,,y,3,#DIV/0!,#DIV/0!,,
8,3,4,IRRIGATED,COLLOM,7/17/2025,1,2,67.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,3,6,IRRIGATED,COLLOM,7/17/2025,2,2,68.4,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,3,7,IRRIGATED,COLLOM,7/17/2025,1,1,56.5,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,3,8,IRRIGATED,COLLOM,7/15/2025,1,1,65.1,1,1,,10,3,,16,3,,,y,7,0,0,,
8,3,9,IRRIGATED,COLLOM,7/17/2025,2,2,68.1,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,4,1,IRRIGATED,COLLOM,7/17/2025,1,1,68.3,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,4,5,IRRIGATED,COLLOM,7/17/2025,1,1,58.6,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,5,1,IRRIGATED,PLECON,6/25/2025,5,2,43.7,25,3,220,57,3,136,57,3,70,,y,9,"5,747","2,874",,
8,5,2,IRRIGATED,PLECON,6/25/2025,5,2,32.4,5,3,245,26,3,93,23,3,50,,y,9,"1,598",799,,
8,5,3,IRRIGATED,MADGRA,,1,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,
8,5,4,IRRIGATED,PLECON,5/28/2025,2,1,14.5,1,,,0,0,0,2,,,,,,#DIV/0!,#DIV/0!,,
8,6,2,IRRIGATED,PLECON,6/23/2025,6,4,30.9,4,3,177,21,3,103,38,3,22,,y,,"1,236",309,,
8,6,3,IRRIGATED,PLECON,5/28/2025,2,2,37.6,13,3,301,37,3,165,61,3,86,,,,"5,088","2,544",,
8,6,9,IRRIGATED,PLECON,6/23/2025,4,4,39.6,,,,,,,,,,,n,,#DIV/0!,#DIV/0!,,