PARK,PLOT_TYPE,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,BIOMASS,STEMS,TOTALINFL,TOPINFL_FR,SIDEINFL_FR,FR_PER_INFL,FINALFR,NOTES,,,,,
WIR,ALONE,NAVSQU,5,7/12/2024,,,52.0,29.674,,154,27,8,,1251,,,,,,
WIR,ALONE,NAVSQU,6,7/12/2024,,,50.0,14.817,,91,40,12,,1120,,,,,,
WIR,ALONE,NAVSQU,7,7/12/2024,,,55.0,26.928,,159,26,17,,2712,,,,,,
WIR,ALONE,NAVSQU,8,7/12/2024,,,57.0,24.536,,102,38,22,,2260,,,,,,
WIR,ALONE,NAVSQU,9,7/12/2024,,,45.0,13.237,,71,35,10,,735,,,,,,
WIR,ALONE,NAVSQU,10,7/12/2024,,,47.0,,,69,,,,,,,,,,
WIR,ALONE,PLAFIG,1,7/2/2024,,,43.2,,7,,,,,2030,,,,,,
WIR,ALONE,PLAFIG,2,7/2/2024,,,35.8,,6,,,,,1307,,,,,,
WIR,ALONE,PLAFIG,3,7/2/2024,,,33.5,,8,,,,,1136,,,,,,
WIR,ALONE,PLAFIG,4,7/2/2024,,,30.5,,4,,,,,1062,,,,,,
WIR,ALONE,PLAFIG,5,7/2/2024,,,44.3,,7,,,,,1073,,,,,,
WIR,ALONE,PLAFIG,6,7/2/2024,,,31.5,,8,,,,,915,,,,,,
WIR,ALONE,PLAFIG,7,7/2/2024,,,49.6,,5,,,,,1721,,,,,,
WIR,ALONE,PLAFIG,8,7/2/2024,,,37.8,,7,,,,,471,,,,,,
WIR,ALONE,PLAFIG,9,7/2/2024,,,32.7,,6,,,,,712,,,,,,
WIR,ALONE,PLAFIG,10,7/2/2024,,,33.5,,14,,,,,408,,,,,,
WIR,ALONE,EPIDEN,1,7/12/2024,,,10.7,3.100,,,,,,156,,,,,,
WIR,ALONE,EPIDEN,2,7/12/2024,,,13.7,3.921,,,,,,149,,,,,,
WIR,ALONE,EPIDEN,3,7/12/2024,,,15.4,6.217,,,,,,164,,,,,,
WIR,ALONE,EPIDEN,4,7/12/2024,,,10.8,3.903,,,,,,184,,,,,,
WIR,ALONE,EPIDEN,5,7/12/2024,,,7.6,1.481,,,,,,39,,,,,,
WIR,ALONE,EPIDEN,6,7/12/2024,,,12.2,1.759,,,,,,73,,,,,,
WIR,ALONE,EPIDEN,7,7/12/2024,,,11.6,,,,,,,,,,,,,
WIR,ALONE,EPIDEN,8,7/12/2024,,,14.8,,,,,,,,,,,,,
WIR,ALONE,EPIDEN,9,7/12/2024,,,11.4,3.023,,,,,,122,,,,,,
WIR,ALONE,EPIDEN,10,7/12/2024,,,12.8,,,,,,,,,,,,,
WIR,ALONE,EPIDEN,11,7/12/2024,,,8.4,,,,,,,,,,,,,
WIR,ALONE,EPIDEN,12,7/12/2024,,,11.6,2.071,,,,,,77,,,,,,
WIR,ALONE,GILCAP,1,7/12/2024,,,13.0,,,,,,,,herbivory,,,,,
WIR,ALONE,GILCAP,2,7/12/2024,,,9.0,2.972,,38,,,25,950,herbivory,,,,,
WIR,ALONE,GILCAP,3,7/12/2024,,,13.5,8.286,,101,,,25,2525,herbivory,,,,,
WIR,ALONE,GILCAP,4,7/12/2024,,,23.0,3.267,,51,,,25,1275,herbivory,,,,,
WIR,ALONE,GILCAP,5,7/12/2024,,,24.0,,,92,,,25,2300,herbivory,,,,,
WIR,ALONE,GILCAP,6,7/12/2024,,,24.0,5.110,,75,,,25,1875,herbivory,,,,,
WIR,ALONE,GILCAP,7,7/12/2024,,,13.0,3.298,,58,,,25,1450,herbivory,,,,,
WIR,ALONE,GILCAP,8,7/12/2024,,,24.0,3.147,,45,,,25,1125,herbivory,,,,,
WIR,ALONE,GILCAP,9,7/12/2024,,,18.0,2.922,,81,,,25,2025,herbivory,,,,,
WIR,ALONE,GILCAP,10,7/12/2024,,,12.0,4.229,,57,,,25,1425,herbivory,,,,,
WIR,ALONE,COLLOM,2,7/12/2024,,,8.1,1.505,,15,6,4,,62,,,,,,
WIR,ALONE,COLLOM,3,7/12/2024,,,11.4,5.500,,32,21,11,,362,,,,,,
WIR,ALONE,COLLOM,4,7/12/2024,,,10.2,3.835,,26,13,6,,163,,,,,,
WIR,ALONE,COLLOM,5,7/12/2024,,,7.9,1.234,,4,10,7,,31,,,,,,
WIR,ALONE,COLLOM,6,7/12/2024,,,8.0,2.794,,28,11,9,,254,,,,,,
WIR,ALONE,COLLOM,7,7/12/2024,,,10.3,3.552,,30,10,4,,126,,,,,,
WIR,ALONE,COLLOM,8,7/12/2024,,,6.6,1.304,,11,19,9,,109,,,,,,
WIR,ALONE,COLLOM,9,7/12/2024,,,8.3,1.073,,7,13,10,,73,,,,,,
WIR,ALONE,COLLOM,10,7/12/2024,,,9.1,,,9,,,,,,,,,,
WIR,ALONE,CLAPUR,1,7/12/2024,,,10.7,1.473,,,,,,30,,,,,,
WIR,ALONE,CLAPUR,2,7/12/2024,,,11.4,0.624,,,,,,19,,,,,,
WIR,ALONE,CLAPUR,3,7/12/2024,,,10.6,2.008,,,,,,71,,,,,,
WIR,ALONE,CLAPUR,4,7/12/2024,,,14.4,,,,,,,76,,,,,,
WIR,ALONE,CLAPUR,5,7/12/2024,,,14.5,,,,,,,93,,,,,,
WIR,ALONE,CLAPUR,6,7/12/2024,,,15.6,1.688,,,,,,34,,,,,,
WIR,ALONE,CLAPUR,7,7/12/2024,,,11.5,0.679,,,,,,18,,,,,,
WIR,ALONE,CLAPUR,8,7/12/2024,,,10.3,3.385,,,,,,58,,,,,,
WIR,ALONE,CLAPUR,9,7/12/2024,,,14.5,0.557,,,,,,33,,,,,,
WIR,ALONE,CLAPUR,10,7/12/2024,,,7.1,,,,,,,2,,,,,,
WIR,ALONE,CLAPUR,11,7/12/2024,,,13.5,0.940,1,,,,,51,,,,,,
WIR,ALONE,CLAPUR,12,7/12/2024,,,7.6,,1,,,,,37,,,,,,
WIR,ALONE,CLAPUR,13,7/12/2024,,,16.0,,1,,,,,22,,,,,,
WIR,ALONE,COLLIN,3,7/2/2024,,,7.3,,1,,,,,0,,,,,,
WIR,ALONE,COLLIN,4,7/2/2024,,,14.4,,1,,,,,33,,,,,,
WIR,ALONE,COLLIN,5,7/2/2024,,,17.1,,1,,,,,118,,,,,,
WIR,ALONE,COLLIN,6,7/2/2024,,,21.6,,1,,,,,41,,,,,,
WIR,ALONE,COLLIN,7,7/2/2024,,,8.2,,1,,,,,24,,,,,,
WIR,ALONE,COLLIN,8,7/2/2024,,,10.1,,1,,,,,12,,,,,,
WIR,ALONE,COLLIN,9,7/2/2024,,,8.5,,1,,,,,4,,,,,,
WIR,ALONE,COLLIN,10,7/2/2024,,,5.2,,1,,,,,10,,,,,,
WIR,ALONE,COLLIN,11,7/2/2024,,,4.5,,1,,,,,7,,,,,,
WIR,ALONE,COLLIN,12,7/2/2024,,,9.3,,1,,,,,2,,,,,,
WIR,ALONE,COLLIN,13,7/2/2024,,,5.6,,1,,,,,2,,,,,,
RF,ALONE,PLECON,1,6/25/2024,,,47.8,,1,190,,,,,BS main stem,,,,,
RF,ALONE,PLECON,2,6/25/2024,,,45.5,,1,62,,,,,,,,,,
RF,ALONE,PLECON,3,6/25/2024,,,51.5,,1,113,,,,,,,,,,
RF,ALONE,PLECON,4,6/25/2024,,,55.9,,1,204,,,,,,,,,,
RF,ALONE,PLECON,5,6/25/2024,,,46.2,,1,31,,,,,,,,,,
RF,ALONE,PLECON,6,6/25/2024,,,50.5,,1,219,,,,,,,,,,
RF,ALONE,PLECON,7,6/25/2024,,,42.7,,1,86,,,,,,,,,,
RF,ALONE,PLECON,8,6/25/2024,,,60.5,,1,152,,,,,,,,,,
RF,ALONE,PLECON,9,6/25/2024,,,56.1,,1,163,,,,,,,,,,
RF,ALONE,PLECON,10,6/25/2024,,,51.6,,1,280,,,,,,,,,,
RF,ALONE,PLECON,11,6/25/2024,,,35.4,,1,30,,,,,,,,,,
RF,ALONE,NAVSQU,1,7/10/2024,,,48.2,23.334,14,145,43,38,,5515,,,,,,
RF,ALONE,NAVSQU,2,7/10/2024,,,61.5,55.398,19,319,42,38,,12126,,,,,,
RF,ALONE,NAVSQU,3,7/10/2024,,,49.1,9.035,6,54,39,23,,1258,,,,,,
RF,ALONE,NAVSQU,4,7/10/2024,,,44.0,9.511,10,57,37,11,,653,,,,,,
RF,ALONE,NAVSQU,5,7/10/2024,,,55.7,14.219,10,85,44,12,,1052,,,,,,
RF,ALONE,NAVSQU,6,7/10/2024,,,49.5,13.960,10,59,43,29,,1725,,,,,,
RF,ALONE,NAVSQU,7,7/10/2024,,,52.1,,15,206,,,,,,,,,,
RF,ALONE,NAVSQU,8,7/10/2024,,,52.5,9.718,7,51,38,14,,738,,,,,,
RF,ALONE,NAVSQU,9,7/10/2024,,,45.1,5.879,7,38,39,31,,1186,,,,,,
RF,ALONE,NAVSQU,10,7/10/2024,,,50.0,,10,157,,,,,,,,,,
RF,ALONE,NAVSQU,11,7/10/2024,,,47.5,,7,51,,,,,,,,,,
RF,ALONE,PLAFIG,1,6/28/2024,,,58.1,,9,,,,,1128,,,,,,
RF,ALONE,PLAFIG,2,6/28/2024,,,62.1,,8,,,,,1977,,,,,,
RF,ALONE,PLAFIG,3,6/28/2024,,,41.1,,5,,,,,269,,,,,,
RF,ALONE,PLAFIG,4,6/28/2024,,,49.8,,11,,,,,811,,,,,,
RF,ALONE,PLAFIG,5,6/28/2024,,,66.7,,10,,,,,2523,,,,,,
RF,ALONE,PLAFIG,6,6/28/2024,,,56.3,,8,,,,,1233,,,,,,
RF,ALONE,PLAFIG,7,6/28/2024,,,55.6,,6,,,,,421,,,,,,
RF,ALONE,PLAFIG,8,6/28/2024,,,38.7,,5,,,,,286,,,,,,
RF,ALONE,PLAFIG,9,6/28/2024,,,44.0,,10,,,,,846,,,,,,
RF,ALONE,PLAFIG,10,6/28/2024,,,44.1,,6,,,,,314,,,,,,
RF,ALONE,EPIDEN,1,7/10/2024,,,80.8,20.159,2,,,,,513,,,,,,
RF,ALONE,EPIDEN,2,7/10/2024,,,80.8,6.737,1,,,,,128,,,,,,
RF,ALONE,EPIDEN,3,7/10/2024,,,54.8,3.527,1,,,,,100,,,,,,
RF,ALONE,EPIDEN,4,7/10/2024,,,60.9,9.377,3,,,,,150,,,,,,
RF,ALONE,EPIDEN,5,7/10/2024,,,79.3,,4,,,,,,,,,,,
RF,ALONE,EPIDEN,6,7/10/2024,,,74.2,4.435,1,,,,,104,,,,,,
RF,ALONE,EPIDEN,7,7/10/2024,,,64.9,9.446,3,,,,,223,,,,,,
RF,ALONE,EPIDEN,8,7/10/2024,,,73.7,15.647,3,,,,,319,,,,,,
RF,ALONE,EPIDEN,9,7/10/2024,,,74.3,,7,,,,,16,,,,,,
RF,ALONE,EPIDEN,10,7/10/2024,,,72.6,,4,,,,,,,,,,,
RF,ALONE,EPIDEN,11,7/10/2024,,,45.0,2.536,2,,,,,99,,,,,,
RF,ALONE,EPIDEN,12,7/10/2024,,,73.9,,5,,,,,,,,,,,
RF,ALONE,EPIDEN,13,7/10/2024,,,80.6,,1,,,,,,,,,,,
RF,ALONE,GILCAP,1,7/8/2024,,,66.0,,,39,,,25,975,,,,,,
RF,ALONE,GILCAP,2,7/8/2024,,,85.0,,,84,,,25,2100,,,,,,
RF,ALONE,GILCAP,3,7/8/2024,,,73.0,,,28,,,25,700,,,,,,
RF,ALONE,GILCAP,4,7/8/2024,,,58.0,,,105,,,25,2625,,,,,,
RF,ALONE,GILCAP,5,7/8/2024,,,75.0,,,60,,,25,1500,,,,,,
RF,ALONE,GILCAP,6,7/8/2024,,,66.0,,,85,,,25,2125,,,,,,
RF,ALONE,GILCAP,7,7/8/2024,,,68.0,,,97,,,25,2425,,,,,,
RF,ALONE,GILCAP,8,7/8/2024,,,77.1,,,51,,,25,1275,,,,,,
RF,ALONE,GILCAP,9,7/8/2024,,,88.2,,,40,,,25,1000,,,,,,
RF,ALONE,GILCAP,10,7/8/2024,,,95.0,,,89,,,25,2225,,,,,,
RF,ALONE,COLLOM,1,7/10/2024,,,83.0,,1,68,,,,,,,,,,
RF,ALONE,COLLOM,2,7/10/2024,,,85.0,,1,34,118,46,,1636,,,,,,
RF,ALONE,COLLOM,3,7/10/2024,,,83.0,,8,81,64,45,,3664,,,,,,
RF,ALONE,COLLOM,4,7/10/2024,,,81.0,,11,225,76,41,,9260,,,,,,
RF,ALONE,COLLOM,5,7/10/2024,,,77.0,,1,102,,,,,,,,,,
RF,ALONE,COLLOM,6,7/10/2024,,,68.1,,13,82,180,101,,8361,,,,,,
RF,ALONE,COLLOM,7,7/10/2024,,,82.4,,9,123,185,34,,4333,,,,,,
RF,ALONE,COLLOM,8,7/10/2024,,,71.0,,4,38,123,45,,1788,,,,,,
RF,ALONE,COLLOM,9,7/10/2024,,,67.3,,1,16,100,44,,760,,,,,,
RF,ALONE,COLLOM,10,7/10/2024,,,56.5,,1,25,110,22,,638,,,,,,
RF,ALONE,COLLOM,11,7/10/2024,,,73.5,,4,237,,,,,,,,,,
RF,ALONE,COLLOM,12,7/10/2024,,,79.9,,2,106,,,,,,,,,,
RF,ALONE,COLLOM,13,7/10/2024,,,80.2,,7,,,,,,,,,,,
RF,ALONE,CLAPUR,2,7/10/2024,,,113.2,,1,,,,,213,,,,,,
RF,ALONE,CLAPUR,4,7/10/2024,,,79.6,,2,,,,,71,,,,,,
RF,ALONE,CLAPUR,5,7/10/2024,,,59.6,,1,,,,,19,,,,,,
RF,ALONE,CLAPUR,6,7/10/2024,,,42.4,,1,,,,,8,,,,,,
RF,ALONE,CLAPUR,7,7/10/2024,,,43.0,,1,,,,,146,,,,,,
RF,ALONE,CLAPUR,8,7/10/2024,,,90.9,,1,,,,,209,,,,,,
RF,ALONE,CLAPUR,9,7/10/2024,,,65.7,,1,,,,,45,,,,,,
RF,ALONE,CLAPUR,10,7/10/2024,,,123.4,,1,,,,,489,,,,,,
RF,ALONE,CLAPUR,11,7/10/2024,,,82.0,,1,,,,,96,,,,,,
RF,ALONE,CLAPUR,12,7/10/2024,,,61.0,,1,,,,,15,,,,,,
RF,ALONE,CLAPUR,13,7/10/2024,,,63.8,,1,,,,,13,,,,,,
RF,ALONE,CLAPUR,14,7/10/2024,,,70.3,,1,,,,,36,,,,,,
RF,ALONE,COLLIN,1,6/28/2024,,,44.4,,4,,,,,879,,,,,,
RF,ALONE,COLLIN,2,6/28/2024,,,38.1,,8,,,,,238,,,,,,
RF,ALONE,COLLIN,3,6/28/2024,,,38.1,,5,,,,,691,,,,,,
RF,ALONE,COLLIN,4,6/28/2024,,,34.3,,5,,,,,478,,,,,,
RF,ALONE,COLLIN,5,6/28/2024,,,29.4,,4,,,,,158,,,,,,
RF,ALONE,COLLIN,6,6/28/2024,,,42.1,,6,,,,,501,,,,,,
RF,ALONE,COLLIN,7,6/28/2024,,,39.4,,5,,,,,474,,,,,,
RF,ALONE,COLLIN,8,6/28/2024,,,47.9,,5,,,,,889,,,,,,
RF,ALONE,COLLIN,9,6/28/2024,,,39.6,,3,,,,,144,,,,,,
RF,ALONE,COLLIN,10,6/28/2024,,,39.5,,1,,,,,129,,,,,,
